# firmware_abi_key	setup_carrier	instruction_count	create_command	destroy_command	magic1	magic2	magic3	token	eop_ring_offset	read_pointer_offset	metadata_offset	pipe_id	ring_size	qualification
0x0900	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0905	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0920	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0940	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0960	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1001	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1020	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1040	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1060	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1100	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1120	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1140	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1160	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1200	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1202	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1220	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1240	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1260	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x1270	c66064fbec1d7034	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
