# firmware_abi_key	primary_command	primary_carrier	primary_payload	primary_status	final_command	final_carriers	final_status	query_internal_command	query_internal_carrier	public_direct_exports	query_status	qualification
0x0650	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0701	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0720	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0740	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0760	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0761	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0800	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0820	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0840	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0860	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0900	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0905	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0920	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0940	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0960	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1001	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1020	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1040	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1060	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1100	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1120	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1140	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1160	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	RE-exact-hardware-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-final-hardware-pending
0x1200	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1202	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1220	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1240	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1260	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x1270	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	5dbe69c5726def23,fb6e383a7793e8a1	disabled-final-wrapper-variants-pending	0x80048127	404cb99b50672302	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
