firmware	library	name	nid	notes
3.20	libSceAgcDriver	sceAgcSdmaConstFill	CmlLiND79W8	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaCopyLinear	7HmaD1MaWQs	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaCopyTiledBC	DBZMYLxXRYA	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaCopyTiledGen2	hBsEOmOR3qQ	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaCopyWindowBC	oWyZFLUVjcI	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaCopyWindowGen2	f4aTpX9UhD0	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaFlush	GOP1R6vumsg	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaOpen	aYySApdZmtE	3.20 stub (libSceAgcDriver)
3.20	libSceAgcDriver	sceAgcSdmaSetTileModesBC	scA1QSh8cfE	3.20 stub (libSceAgcDriver)
unknown	libSceAgc	sceAgcDcbCondExecEx	Aozdh0bCcO0	agc_nids.h
